0,0.10088,0.10749,0.10315,0.12237,0.11879,0.1218,0.12145,0.11742,0.11925,0.12001,0.11694,0.12272,0.12491,0.12683,0.12317,0.12203,0.12411,0.12231,0.12383,0.118,0.11554,0.11639,0.11412,0.11917,0.1215,0.12351,0.11732,0.13201,0.15077,0.14253,0.14466,0.13311,0.13813,0.13945,0.13292,0.13028,0.14014,0.13654,0.13631,0.13313,0.13604,0.13806,0.13035,0.13354,0.1317,0.12778,0.1281
0.10098,0,0.10231,0.097476,0.11619,0.11482,0.11545,0.11244,0.10952,0.11234,0.11448,0.10699,0.11697,0.11668,0.11585,0.11721,0.11808,0.11751,0.11478,0.11499,0.1125,0.10878,0.10485,0.10588,0.11355,0.1147,0.11726,0.11046,0.12271,0.14097,0.13219,0.13226,0.12506,0.13021,0.13179,0.12871,0.12464,0.14096,0.13287,0.12583,0.12691,0.12701,0.12838,0.13175,0.12589,0.12393,0.11858,0.12275
0.10785,0.10123,0,0.10568,0.12147,0.11907,0.11621,0.1216,0.11247,0.11506,0.11535,0.11421,0.12208,0.1185,0.12052,0.12162,0.12041,0.12251,0.12084,0.12199,0.11587,0.11246,0.11234,0.11097,0.11487,0.11643,0.11959,0.11663,0.1275,0.1445,0.13369,0.13634,0.12913,0.13081,0.13772,0.12827,0.12807,0.14433,0.13815,0.13178,0.13047,0.13447,0.13541,0.1335,0.12851,0.1278,0.12157,0.12587
0.10314,0.097334,0.10535,0,0.12072,0.11867,0.12062,0.12178,0.11405,0.11633,0.11957,0.11467,0.12087,0.12081,0.12429,0.12026,0.1222,0.12329,0.1205,0.12186,0.11857,0.1117,0.11487,0.11174,0.11825,0.11894,0.11998,0.11621,0.12741,0.14916,0.13742,0.14204,0.12989,0.1306,0.14067,0.12911,0.13421,0.13995,0.13502,0.13203,0.13155,0.13709,0.13754,0.13613,0.12909,0.12899,0.12543,0.1261
0.12428,0.11595,0.12299,0.11808,0,0.1264,0.1192,0.12161,0.128,0.13165,0.1339,0.12861,0.13655,0.13593,0.13679,0.13869,0.13463,0.13494,0.13561,0.13406,0.12952,0.12619,0.12623,0.12406,0.13371,0.13258,0.13643,0.12965,0.13981,0.1611,0.15148,0.15231,0.14402,0.14586,0.15296,0.14205,0.1429,0.16037,0.15315,0.14882,0.14731,0.15059,0.15015,0.14952,0.14153,0.14044,0.13555,0.13921
0.11845,0.11421,0.11897,0.11685,0.12657,0,0.12284,0.12724,0.12385,0.12681,0.12671,0.12375,0.13202,0.13323,0.13386,0.13573,0.13264,0.13573,0.13162,0.13083,0.12428,0.12417,0.12454,0.12098,0.13091,0.12948,0.13157,0.12628,0.138,0.15623,0.14772,0.15193,0.14602,0.1431,0.14702,0.14207,0.14244,0.15641,0.15213,0.14308,0.14319,0.14564,0.14301,0.14617,0.13961,0.13804,0.13432,0.13535
0.12129,0.11289,0.11927,0.11872,0.11965,0.12279,0,0.12978,0.12747,0.12857,0.13167,0.128,0.13333,0.13379,0.13669,0.13454,0.13526,0.13332,0.13313,0.13334,0.12781,0.12552,0.12522,0.12325,0.12592,0.13007,0.13203,0.13048,0.14205,0.15887,0.14881,0.15075,0.14149,0.14237,0.15006,0.14201,0.14703,0.15735,0.15261,0.14633,0.14584,0.14709,0.14719,0.1479,0.14163,0.13972,0.13551,0.13789
0.12299,0.11438,0.12077,0.11922,0.12172,0.12806,0.12891,0,0.12663,0.13081,0.13134,0.1294,0.13472,0.13497,0.13836,0.13483,0.13709,0.13701,0.13543,0.13572,0.12871,0.12515,0.12664,0.12448,0.13293,0.13256,0.13595,0.13087,0.13947,0.16032,0.14783,0.15116,0.14487,0.14369,0.1519,0.13795,0.14407,0.15917,0.15149,0.15115,0.14739,0.14911,0.14356,0.14507,0.14167,0.13881,0.13559,0.13353
0.11874,0.10904,0.11685,0.11561,0.12596,0.12412,0.1256,0.12697,0,0.11052,0.11695,0.11222,0.1307,0.12396,0.13297,0.12908,0.12789,0.12815,0.12392,0.12674,0.12153,0.11853,0.11676,0.11728,0.12303,0.12061,0.12726,0.12299,0.13101,0.15265,0.14076,0.13849,0.13348,0.13219,0.14363,0.13149,0.13796,0.15038,0.14753,0.14034,0.13715,0.13821,0.14186,0.1419,0.13359,0.13391,0.12778,0.13095
0.1185,0.11389,0.1178,0.11785,0.13354,0.12491,0.13073,0.13147,0.11346,0,0.11564,0.12011,0.13019,0.12993,0.12999,0.13318,0.13268,0.13249,0.12861,0.1304,0.12443,0.12137,0.1181,0.11958,0.12939,0.12464,0.13389,0.12358,0.13298,0.15226,0.14517,0.14616,0.13959,0.14215,0.14738,0.1406,0.14126,0.15084,0.14758,0.14085,0.13729,0.1418,0.14553,0.14451,0.13708,0.13498,0.13302,0.13326
0.12403,0.11619,0.11448,0.12042,0.13255,0.1277,0.13232,0.1313,0.12053,0.1175,0,0.11978,0.13365,0.13308,0.13502,0.13703,0.13316,0.13413,0.12853,0.13005,0.12754,0.12398,0.12225,0.12182,0.13074,0.12893,0.13546,0.12668,0.13549,0.15534,0.14799,0.14879,0.14334,0.14167,0.14874,0.14348,0.14263,0.15824,0.15057,0.1433,0.13945,0.14708,0.1497,0.14416,0.13797,0.13762,0.13353,0.13905
